POLYGON_ID	STATE_CODE	STATE_NAME	GEOMETRY
0	HI	Hawaii	POLYGON ((-160.0738033454682 22.00417734795773, -160.0898583454831 21.91587034787549, -160.1701373455579 21.86759634783053, -160.2263363456102 21.89159234785288, -160.0738033454682 22.00417734795773))
1	HI	Hawaii	POLYGON ((-159.3351743447802 21.94834334790573, -159.4395453448774 21.86807134783097, -159.5760213450045 21.88413634784593, -159.6402473450644 21.94836534790575, -159.7365923451541 21.9644203479207, -159.8008143452139 22.03666634798799, -159.7125063451317 22.14905934809266, -159.5760123450045 22.21317934815238, -159.3913673448326 22.22912034816723, -159.2950253447428 22.12481234807008, -159.3351743447802 21.94834334790573))
2	HI	Hawaii	POLYGON ((-157.6733303432325 21.29802734730007, -157.8258713433746 21.24986334725522, -157.8981343434419 21.33014434732999, -158.0988333436288 21.29000834729261, -158.2353183437559 21.47465234746457, -158.2674313437858 21.58704234756924, -158.1148943436438 21.57901634756177, -158.0426263435764 21.67535034765148, -157.9864283435241 21.69943334767391, -157.9141793434568 21.6352083476141, -157.8098153433596 21.43450534742718, -157.7616433433148 21.45858734744961, -157.6733303432325 21.29802734730007))
3	HI	Hawaii	POLYGON ((-156.7178723423427 21.1374193471505, -156.7660483423875 21.06517634708322, -156.8864843424997 21.04913434706828, -157.0711323426717 21.10533134712062, -157.2878973428736 21.08125034709819, -157.3039483428885 21.13744834715052, -157.1674713427614 21.19364034720286, -157.0069033426119 21.18561034719538, -156.7178723423427 21.1374193471505))
4	HI	Hawaii	POLYGON ((-157.0390503426418 20.92870734695612, -156.9105863425222 20.92871834695613, -156.806205342425 20.84041834687389, -156.8864873424997 20.73604934677669, -156.9667653425745 20.72802034676921, -156.9828263425895 20.83237734686641, -157.0390503426418 20.92870734695612))
5	HI	Hawaii	POLYGON ((-156.1960453418567 20.63164934667946, -156.2763173419315 20.58348434663461, -156.3967353420436 20.56742734661965, -156.4609723421034 20.72798134676918, -156.6375863422679 20.80826134684395, -156.6937823423203 20.91262434694114, -156.6536363422829 21.01698534703834, -156.5974393422305 21.04106434706076, -156.5251913421632 20.98487034700843, -156.4770223421184 20.89656534692619, -156.3566033420062 20.94472634697104, -156.2602633419165 20.92867134695609, -156.0113923416847 20.80022534683646, -155.9873173416623 20.75206134679161, -156.0435113417146 20.65573234670189, -156.1960453418567 20.63164934667946))
6	HI	Hawaii	POLYGON ((-155.6661923413632 18.92178634508703, -155.7785853414679 19.01009234516927, -155.8588613415427 19.01010134516928, -155.9070313415875 19.13051334528142, -155.8749273415576 19.37135834550573, -155.9471783416249 19.4837503456104, -155.9712583416473 19.62825234574498, -156.0435243417147 19.78078334588703, -155.9793013416548 19.82092234592442, -155.8267613415128 20.00556334609637, -155.8909783415726 20.17414934625338, -155.8588583415427 20.2704793463431, -155.7384423414305 20.20625634628328, -155.2005503409296 19.99752834608889, -155.0961853408324 19.87711434597675, -155.0721063408099 19.72458534583469, -154.9757633407202 19.74064334584965, -154.9757623407202 19.65233534576741, -154.7910963405482 19.53996034566275, -154.8151873405707 19.45967634558798, -154.9275813406754 19.41951834555058, -155.0158813407576 19.33121134546834, -155.1523723408847 19.26699234540853, -155.3048993410268 19.23487834537862, -155.5216783412286 19.12248434527394, -155.5377293412436 19.04221034519918, -155.6661923413632 18.92178634508703))
7	WA	Washington	POLYGON ((-117.0320493053824 48.99993137309949, -117.0388683053887 48.04618637221124, -117.0417943053915 47.36144137157352, -117.0419263053916 46.53660137080533, -117.0279733053786 46.33542737061797, -116.9294263052868 46.1654833704597, -116.9616373053168 46.09727437039618, -116.9191323052772 45.99517537030108, -117.9925273062769 46.0016393703071, -118.9821333071985 45.99905837030471, -119.1402503073458 45.92570837023639, -119.3027633074971 45.93266237024287, -119.5122203076922 45.8992003702117, -119.589294307764 45.91331537022485, -119.678445307847 45.85253937016825, -119.9943203081412 45.81114037012969, -120.2074453083397 45.71978437004461, -120.4433833085594 45.6892793700162, -120.5700823086774 45.74091837006429, -120.8614193089488 45.66518636999376, -121.033482309109 45.65284436998227, -121.1743163092402 45.60051636993353, -121.2033083092672 45.65728736998641, -121.3199773093758 45.69664237002306, -121.5290543095705 45.71956737004441, -121.7064173097357 45.68879337001575, -121.8110413098332 45.70068337002682, -121.926820309941 45.6420283699722, -122.2449223102372 45.54811236988473, -122.4371543104163 45.56477936990025, -122.6512093106156 45.60683036993942, -122.7605413107175 45.64939736997906, -122.8077413107614 45.94389037025333, -122.8997573108471 46.07932937037946, -123.0505963109876 46.15573637045063, -123.1761963111046 46.18358637047656, -123.3047173112243 46.14473737044038, -123.4707733113789 46.27502337056171, -123.620076311518 46.25866537054648, -123.7254593116161 46.28542337057141, -123.8857713117654 46.2404383705295, -123.9933293118656 46.31027437059455, -124.0130023118839 46.38368037066292, -123.8414513117241 46.40434337068216, -123.9577123118324 46.61722537088042, -123.8955423117745 46.7449863709994, -124.0910493119566 46.72902237098454, -124.1388273120011 46.89998537114376, -124.0469293119155 46.88725337113191, -123.9958643118679 46.97638537121491, -124.1123613119764 47.04267537127664, -124.2314253120873 47.27507037149309, -124.3194273121693 47.34923837156216, -124.3736053122197 47.6387633718318, -124.4840353123226 47.80825537198965, -124.6066853124368 47.87373537205063, -124.7327693125542 48.14998937230791, -124.7052093125286 48.23199637238429, -124.7171753125397 48.37755737251986, -124.5635473123966 48.35727837250097, -123.9912153118636 48.15916137231646, -123.3968573113101 48.11103037227163, -123.1232223110552 48.14873337230675, -122.9215943108675 48.09417937225594, -122.8411113107925 48.13313637229222, -122.6615603106253 47.91715737209107, -122.7458703107038 47.80898837199034, -122.858804310809 47.82732837200742, -122.9169693108631 47.6146063718093, -122.7529423107104 47.66068837185222, -122.7230623106825 47.75689937194182, -122.5318883105045 47.90946137208391, -122.4735883104502 47.75498037194004, -122.621509310588 47.69696837188601, -122.5864603105553 47.57119137176887, -122.504461310479 47.50721637170929, -122.6069143105744 47.2705713714889, -122.7733353107294 47.3373603715511, -123.115436311048 47.20798137143061, -123.0812003110161 47.09005837132078, -122.9231503108689 47.04796337128157, -122.7900483107449 47.12585937135413, -122.7281863106873 47.08244137131369, -122.5918063105603 47.18006037140459, -122.5307633105035 47.28745637150462, -122.3253763103122 47.34432337155758, -122.3926333103748 47.5102423717121, -122.4148153103955 47.66418037185547, -122.3944923103765 47.77417637195791, -122.3029223102913 47.95021437212186, -122.2169923102112 48.00743937217516, -122.3683333103522 48.12814137228757, -122.3783203103615 48.28972137243805, -122.5643663105348 48.41424637255403, -122.6670323106304 48.41289537255277, -122.6994133106605 48.4943283726286, -122.6081783105756 48.51882437265142, -122.5232283104964 48.45840337259515, -122.4877983104634 48.63857037276294, -122.5168533104905 48.75792137287409, -122.6974043106586 48.80301537291609, -122.7651193107217 48.99974637309931, -120.8570593089447 48.99983037309939, -118.8436033070695 48.99989837309946, -118.2003543064704 48.99990837309947, -117.0320493053824 48.99993137309949))
8	WA	Washington	POLYGON ((-122.9679783109106 48.44379437258154, -123.1597203110892 48.52184237265423, -123.1410533110718 48.62364737274905, -123.0120953109517 48.55747737268742, -122.9679783109106 48.44379437258154))
9	WA	Washington	POLYGON ((-122.733187310692 48.27664737242587, -122.665612310629 48.39677737253776, -122.5462023105178 48.07685837223981, -122.379994310363 48.03214637219817, -122.3554003103401 47.9638863721346, -122.4427883104215 47.91805637209191, -122.608628310576 48.0314303721975, -122.733187310692 48.27664737242587))
